Tien	CongTy
300	TuNhan
450	NhaNuoc
530	LienDoanh
900	NhaNuoc
250	LienDoanh
825	NhaNuoc
730	LienDoanh
640	TuNhan
550	NhaNuoc
400	NhaNuoc
600	LienDoanh
800	LienDoanh
850	TuNhan
750	LienDoanh
650	NhaNuoc
520	NhaNuoc
680	NhaNuoc
760	TuNhan
780	TuNhan
860	TuNhan
830	TuNhan
350	TuNhan
590	LienDoanh
380	TuNhan
950	TuNhan
430	TuNhan
480	TuNhan
470	TuNhan
880	TuNhan
670	TuNhan
500	NhaNuoc
450	NhaNuoc
550	TuNhan
900	TuNhan
680	TuNhan
780	TuNhan
720	TuNhan
630	NhaNuoc
670	NhaNuoc
880	NhaNuoc
990	LienDoanh
950	LienDoanh
750	LienDoanh
770	LienDoanh
740	LienDoanh
540	LienDoanh
530	TuNhan
520	TuNhan
550	NhaNuoc
520	NhaNuoc
530	LienDoanh
510	LienDoanh
660	TuNhan
680	TuNhan
630	NhaNuoc
690	LienDoanh
620	LienDoanh
440	TuNhan
420	TuNhan
400	NhaNuoc
410	TuNhan
990	NhaNuoc
980	LienDoanh
970	NhaNuoc
950	LienDoanh
930	NhaNuoc
440	LienDoanh
550	TuNhan
560	NhaNuoc
650	LienDoanh
790	LienDoanh
550	TuNhan
790	TuNhan
730	NhaNuoc
740	TuNhan
750	NhaNuoc
750	TuNhan
660	NhaNuoc
640	LienDoanh
440	NhaNuoc
660	LienDoanh
350	NhaNuoc
450	LienDoanh
580	TuNhan
880	NhaNuoc
990	LienDoanh
770	TuNhan
660	NhaNuoc
550	TuNhan
560	NhaNuoc
670	TuNhan
780	NhaNuoc
890	LienDoanh
460	NhaNuoc
570	LienDoanh
790	TuNhan
860	NhaNuoc
600	LienDoanh
700	NhaNuoc
