"OBS" "y" "x"
"1" "1980:01" 6.08022852 7.263448404
"2" "1980:02" -0.924185461 6.339895504
"3" "1980:03" -3.286174252 -9.285216834
"4" "1980:04" 5.211976571 0.793290771
"5" "1980:05" -16.16421111 -2.902420985
"6" "1980:06" -1.054703649 8.613150875
"7" "1980:07" 11.17237699 3.982062848
"8" "1980:08" -11.06327551 -1.150170907
"9" "1980:09" -16.77699609 3.486125868
"10" "1980:10" -7.021834032 4.329850278
"11" "1980:11" -9.71684668 0.936875279
"12" "1980:12" 5.215705717 -5.202455846
"13" "1981:01" -6.612000956 -2.082757509
"14" "1981:02" 4.264498443 2.728522893
"15" "1981:03" 4.916710821 0.653397106
"16" "1981:04" 22.20495946 6.436071962
"17" "1981:05" -11.29868524 -4.259197932
"18" "1981:06" -5.770507783 0.543909707
"19" "1981:07" -5.217764717 -0.486845933
"20" "1981:08" 16.19620175 2.843999508
"21" "1981:09" -17.16995395 -16.4572142
"22" "1981:10" 1.105334728 4.468938171
"23" "1981:11" 11.6853367 5.885519658
"24" "1981:12" -2.301451728 -0.390698164
"25" "1982:01" 8.643728679 2.499567896
"26" "1982:02" -11.12907503 -4.033607075
"27" "1982:03" 1.724627956 3.042525777
"28" "1982:04" 0.157879967 0.734564665
"29" "1982:05" -1.875202616 2.779732288
"30" "1982:06" -10.62481767 -5.900116576
"31" "1982:07" -5.761135416 3.005344385
"32" "1982:08" 5.481432596 3.954990619
"33" "1982:09" -17.02207459 2.547127067
"34" "1982:10" 7.625420708 4.329008106
"35" "1982:11" -6.575721646 0.191940594
"36" "1982:12" -2.372829861 -0.92167555
"37" "1983:01" 17.52374936 3.394682577
"38" "1983:02" 1.354655809 0.758714353
"39" "1983:03" 16.26861049 1.862073664
"40" "1983:04" -6.074547158 6.797751341
"41" "1983:05" -0.826650702 -1.699253628
"42" "1983:06" 3.807881996 4.092592402
"43" "1983:07" 0.57570091 -2.926299262
"44" "1983:08" 3.755563441 1.773424306
"45" "1983:09" -5.365927271 -2.800815667
"46" "1983:10" -3.750302815 -1.505394995
"47" "1983:11" 4.898751703 4.18696284
"48" "1983:12" 4.379256151 1.201416981
"49" "1984:01" 16.56016188 6.769320788
"50" "1984:02" 1.523127464 -1.686027417
"51" "1984:03" 1.0206078 5.245806105
"52" "1984:04" -3.899307684 1.728710264
"53" "1984:05" -14.32501615 -7.279075595
"54" "1984:06" 3.056627177 -0.77947067
"55" "1984:07" -0.02153592 -2.439634487
"56" "1984:08" 3.355102212 8.445977813
"57" "1984:09" 0.100006778 1.221080129
"58" "1984:10" 1.691250318 2.733386772
"59" "1984:11" 8.20075301 5.12753329
"60" "1984:12" 3.52786616 3.191554763
"61" "1985:01" 4.554587707 3.907838688
"62" "1985:02" 5.365478677 -1.708567484
"63" "1985:03" 4.525231564 0.435218492
"64" "1985:04" 2.944654344 0.958067845
"65" "1985:05" -0.268599528 1.095477375
"66" "1985:06" -3.661040481 -6.816108909
"67" "1985:07" -4.540505062 2.785054354
"68" "1985:08" 9.195292816 3.900209023
"69" "1985:09" -1.894817019 -4.203004414
"70" "1985:10" 12.00661274 5.60179802
"71" "1985:11" 1.233987382 1.570093976
"72" "1985:12" -1.446329607 -1.084427121
"73" "1986:01" 6.023618851 0.778669473
"74" "1986:02" 10.51235756 6.470651262
"75" "1986:03" 13.40071024 8.953781192
"76" "1986:04" -7.796262998 -2.387761685
"77" "1986:05" 0.211540446 -2.873838588
"78" "1986:06" 6.471111064 3.440269098
"79" "1986:07" -9.037475168 -5.891053375
"80" "1986:08" -5.47838091 6.375582004
"81" "1986:09" -6.756881852 -5.734839396
"82" "1986:10" -2.564960223 3.63088408
"83" "1986:11" 2.456599468 -1.31606687
"84" "1986:12" 1.476421303 3.521601216
"85" "1987:01" 17.0694004 8.673412896
"86" "1987:02" 7.565726727 6.914361923
"87" "1987:03" -3.239325817 -0.460660854
"88" "1987:04" 3.662578335 4.295976077
"89" "1987:05" 7.157455113 7.719692529
"90" "1987:06" 4.774901623 3.039887622
"91" "1987:07" 4.23770166 2.510223804
"92" "1987:08" -0.881352219 -3.039443563
"93" "1987:09" 11.49688416 3.787092018
"94" "1987:10" -35.56617624 -27.86969311
"95" "1987:11" -14.59137369 -9.956367094
"96" "1987:12" 14.87271664 7.975865948
"97" "1988:01" 1.748599294 3.936938398
"98" "1988:02" -0.606016446 -0.32797064
"99" "1988:03" -6.078095523 -2.161544202
"100" "1988:04" 3.976153828 2.721787842
"101" "1988:05" -1.050910058 -0.514825422
"102" "1988:06" 3.317856956 3.128796482
"103" "1988:07" 0.407100105 0.181502075
"104" "1988:08" -11.87932524 -7.892363786
"105" "1988:09" -8.801026046 3.347081899
"106" "1988:10" 6.784211277 3.158592144
"107" "1988:11" -10.20578119 -4.816470363
"108" "1988:12" -6.73805381 -0.008549997
"109" "1989:01" 12.83903643 13.46098219
"110" "1989:02" 3.302860922 -0.764474692
"111" "1989:03" -0.155918301 2.298491097
"112" "1989:04" 3.623090767 0.762074588
"113" "1989:05" -1.167680873 -0.495796117
"114" "1989:06" -1.221603303 1.206636013
"115" "1989:07" 5.262902744 4.637026116
"116" "1989:08" 4.845013219 2.680874116
"117" "1989:09" -5.069564838 -5.303858035
"118" "1989:10" -13.57963526 -7.210655599
"119" "1989:11" 1.100607603 5.350185944
"120" "1989:12" 4.925083189 4.106245855
"121" "1990:01" -2.532068851 -3.629547374
"122" "1990:02" -6.601872876 -5.205804299
"123" "1990:03" -1.023768943 -2.183244863
"124" "1990:04" -7.097917266 -5.408563794
"125" "1990:05" 6.376626925 10.57599169
"126" "1990:06" 1.861974711 -0.338612099
"127" "1990:07" -5.591527585 -2.21316202
"128" "1990:08" -15.31758975 -8.476177427
"129" "1990:09" -10.17227358 -7.45941471
"130" "1990:10" -2.217396045 -0.085887763
"131" "1990:11" 5.974205798 5.034770534
"132" "1990:12" -0.857289036 -1.767714908
"133" "1991:01" -3.780184589 0.189108456
"134" "1991:02" 20.64721437 10.38741504
"135" "1991:03" 10.94068018 2.921913827
"136" "1991:04" -3.145639589 0.971720188
"137" "1991:05" -3.142887645 -0.4317819
"138" "1991:06" -1.960866141 -3.342924986
"139" "1991:07" 7.330964031 5.242811509
"140" "1991:08" 7.854387926 2.880654691
"141" "1991:09" 2.539177843 -1.121472224
"142" "1991:10" -1.233244642 -3.969577956
"143" "1991:11" -11.7460404 -5.707995062
"144" "1991:12" 1.078226286 1.502567049
"145" "1992:01" 5.937904622 2.599565094
"146" "1992:02" 4.113184542 0.135881087
"147" "1992:03" -0.655199392 -6.146138064
"148" "1992:04" 15.28430278 10.45736831
"149" "1992:05" 3.994517585 1.415987046
"150" "1992:06" -11.94450998 -8.261109424
"151" "1992:07" -2.530701327 -3.778812167
"152" "1992:08" -9.842366221 -5.386818488
"153" "1992:09" 18.11573724 11.19436372
"154" "1992:10" 0.200950206 3.999870038
"155" "1992:11" 1.125853097 3.620674752
"156" "1992:12" 7.639180786 2.887222251
"157" "1993:01" 2.919569408 1.336746091
"158" "1993:02" -1.062404105 1.240273846
"159" "1993:03" 1.292641409 0.407144312
"160" "1993:04" 0.420241384 -1.734930047
"161" "1993:05" -2.514080553 1.111533687
"162" "1993:06" 0.419362276 1.354127742
"163" "1993:07" 4.374024535 1.943061568
"164" "1993:08" 1.733528075 4.961979827
"165" "1993:09" -3.659808969 -1.618729936
"166" "1993:10" 5.85690764 4.215408608
"167" "1993:11" -1.365550294 1.880360165
"168" "1993:12" -1.346979017 5.826352413
"169" "1994:01" 12.89578758 2.973540693
"170" "1994:02" -5.346700561 -5.479858563
"171" "1994:03" -7.614726564 -5.784547088
"172" "1994:04" 10.22042923 1.157083438
"173" "1994:05" -6.928422261 -6.356199493
"174" "1994:06" -5.065919037 -0.843583888
"175" "1994:07" 7.483498556 5.779953224
"176" "1994:08" 1.828762662 3.298130184
"177" "1994:09" -5.69293279 -7.110010085
"178" "1994:10" -2.426962489 2.968005597
"179" "1994:11" 2.125100668 -1.531245158
"180" "1994:12" -4.225370964 0.264280259
"181" "1995:01" -6.302392617 -2.420388431
"182" "1995:02" 1.27867637 0.138795213
"183" "1995:03" 10.90890516 3.231656585
"184" "1995:04" 2.497849434 2.215804682
"185" "1995:05" 2.891526594 3.856813589
"186" "1995:06" -3.773000069 -0.952204306
"187" "1995:07" 8.776288715 4.020036363
"188" "1995:08" 2.88256097 1.423600345
"189" "1995:09" 2.14691333 -0.037912571
"190" "1995:10" -4.590104662 -1.17655329
"191" "1995:11" -1.293255187 3.760277356
"192" "1995:12" -4.244101531 0.434626357
"193" "1996:01" 6.647088904 1.906345103
"194" "1996:02" 1.635900742 0.301898961
"195" "1996:03" 7.8581899 -0.314132324
"196" "1996:04" 0.789544896 3.034331741
"197" "1996:05" -0.907725397 -1.497346299
"198" "1996:06" -0.392246948 -0.894676854
"199" "1996:07" -1.035896351 -0.532816274
"200" "1996:08" 2.556816005 3.863737088
"201" "1996:09" 3.131830038 2.118254897
"202" "1996:10" -0.020947358 -0.853553262
"203" "1996:11" -5.312287782 1.770340939
"204" "1996:12" -5.196176326 1.702551635
"205" "1997:01" -0.753247124 3.465753348
"206" "1997:02" -2.474343938 1.115253221
"207" "1997:03" 2.47647802 -2.057818461
"208" "1997:04" -1.119104196 3.57089955
"209" "1997:05" 3.352076269 1.953480438
"210" "1997:06" -1.910172239 2.458700404
"211" "1997:07" 0.142814607 2.992341297
"212" "1997:08" 10.50199263 -0.457968038
"213" "1997:09" 12.98501943 8.111278967
"214" "1997:10" -4.134761655 -6.967124504
"215" "1997:11" -4.148579856 -0.155924791
"216" "1997:12" -1.752478236 3.853283433
