OBS,SAL,EDU,D
1,57000,15,1
2,40200,16,1
3,21450,12,0
4,21900,8,0
5,45000,15,1
6,32100,15,1
7,36000,15,1
8,21900,12,0
9,27900,15,0
10,24000,12,0
11,30300,16,0
12,28350,8,1
13,27750,15,1
14,35100,15,0
15,27300,12,1
16,40800,12,1
17,46000,15,1
18,103750,16,1
19,42300,12,1
20,26250,12,0
21,38850,16,0
22,21750,12,1
23,24000,15,0
24,16950,12,0
25,21150,15,0
26,31050,15,1
27,60375,19,1
28,32550,15,1
29,135000,19,1
30,31200,15,1
31,36150,12,1
32,110625,19,1
33,42000,15,1
34,92000,19,1
35,81250,17,1
36,31350,8,0
37,29100,12,1
38,31350,15,1
39,36000,16,1
40,19200,15,0
41,23550,12,0
42,35100,15,1
43,23250,12,1
44,29250,8,1
45,30750,12,1
46,22350,15,0
47,30000,12,0
48,30750,12,1
49,34800,15,1
50,60000,16,1
51,35550,12,1
52,45150,15,1
53,73750,18,1
54,25050,12,1
55,27000,12,1
56,26850,15,1
57,33900,15,1
58,26400,15,0
59,28050,15,1
60,30900,12,1
61,22500,8,1
62,48000,16,1
63,55000,17,1
64,53125,16,1
65,21900,8,1
66,78125,19,1
67,46000,16,1
68,45250,16,1
69,56550,16,1
70,41100,15,1
71,82500,17,1
72,54000,16,0
73,26400,12,0
74,33900,15,0
75,24150,15,0
76,29250,15,0
77,27600,12,0
78,22950,12,0
79,34800,16,0
80,51000,16,0
81,24300,12,0
82,24750,12,0
83,22950,12,0
84,25050,8,0
85,25950,15,1
86,31650,15,1
87,24150,12,1
88,72500,19,1
89,68750,19,1
90,16200,8,0
91,20100,12,0
92,24000,8,0
93,25950,12,0
94,24600,12,0
95,28500,12,0
96,30750,8,1
97,40200,17,1
98,30000,8,1
99,22050,12,0
100,78250,18,1
101,60625,16,1
102,39900,14,1
103,97000,19,1
104,27450,15,1
105,31650,15,1
106,91250,19,1
107,25200,12,0
108,21000,12,0
109,30450,12,1
110,28350,15,1
111,30750,12,1
112,30750,12,1
113,54875,16,1
114,37800,14,1
115,33450,15,1
116,30300,15,1
117,31500,12,0
118,31650,12,0
119,25200,12,0
120,37800,16,0
121,18750,15,0
122,32550,15,0
123,33300,12,0
124,38550,16,0
125,27450,12,1
126,24300,15,1
127,30750,12,1
128,19650,12,0
129,68750,17,1
130,59375,20,1
131,31500,15,1
132,27300,12,1
133,27000,15,1
134,41550,16,0
135,26250,12,0
136,22200,12,1
137,65000,21,1
138,30900,12,1
139,20100,8,0
140,22350,12,0
141,35550,15,0
142,28500,12,0
143,24450,12,0
144,16650,8,0
145,26700,12,1
146,43950,18,1
147,23700,15,1
148,26550,15,0
149,27600,12,1
150,25800,12,1
151,42300,16,1
152,30750,8,1
153,26700,12,0
154,20850,12,0
155,35250,15,1
156,26700,15,1
157,26550,12,0
158,27750,12,0
159,25050,16,0
160,66000,16,1
161,52650,16,1
162,45625,16,1
163,30900,15,1
164,29400,15,0
165,33300,15,0
166,21900,12,0
167,18150,12,0
168,46875,16,0
169,25500,12,1
170,26550,12,1
171,26700,12,1
172,29850,15,0
173,69250,20,1
174,31950,8,1
175,26250,8,1
176,35700,16,0
177,28500,12,0
178,17100,12,0
179,25200,12,1
180,24000,12,0
181,27450,12,0
182,18450,12,0
183,39300,15,1
184,38850,15,1
185,30750,8,1
186,37500,15,1
187,58750,16,1
188,34500,12,0
189,36000,12,0
190,29100,8,0
191,16500,12,0
192,19650,12,1
193,24750,12,0
194,27150,15,0
195,26400,12,0
196,23100,16,0
197,54900,15,1
198,70875,19,1
199,51250,16,1
200,67500,17,1
201,29340,12,1
202,39600,15,1
203,29100,12,1
204,33150,15,1
205,66750,16,1
206,33750,12,1
207,27300,15,1
208,24000,12,0
209,19800,8,0
210,30600,15,1
211,28950,15,1
212,38400,15,1
213,30750,8,1
214,20400,12,0
215,19200,12,0
216,30150,15,1
217,34620,16,1
218,80000,15,1
219,25350,12,1
220,29850,12,1
221,24000,12,0
222,27750,15,0
223,22350,8,0
224,16200,12,0
225,21900,15,0
226,23250,16,0
227,33900,12,0
228,25650,15,0
229,17250,12,0
230,22500,15,1
231,40200,16,1
232,55500,19,1
233,26550,15,1
234,50550,15,1
235,75000,19,1
236,27450,8,0
237,22650,12,0
238,27300,12,0
239,27750,12,0
240,54375,16,0
241,17400,8,0
242,40800,12,0
243,23100,12,0
244,22500,8,0
245,26700,12,0
246,24900,12,0
247,19650,12,0
